KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate
0.97,3.9,4.0,1.4,49.4,2.4,188.0,0.2
0.9,3.7,4.1,2.1,49.4,3.1,185.0,0.1
0.95,3.8,4.0,1.6,49.3,2.7,192.0,0.1
0.95,3.9,4.1,1.3,49.3,5.2,191.0,0.1
0.85,3.5,4.1,1.8,48.8,4.3,176.0,0.1
0.93,3.8,4.1,1.4,48.5,3.9,188.0,0.1
0.88,3.6,4.1,1.4,48.4,3.2,179.0,0.1
0.88,3.7,4.2,2.2,47.9,3.0,189.0,0.1
0.89,3.8,4.2,1.5,47.7,1.5,185.0,0.1
0.86,3.4,4.0,1.3,47.4,4.0,173.0,0.1
0.96,3.8,4.0,1.3,47.2,0.6,186.0,0.1
0.99,3.8,3.9,1.3,51.5,3.6,193.0,0.2
1.16,4.7,4.1,1.4,51.0,11.4,232.0,0.1
1.0,4.3,4.3,1.2,51.0,7.2,212.0,0.1
1.07,4.5,4.2,1.4,50.9,10.1,226.0,0.1
1.1,4.4,4.0,1.2,50.7,3.9,214.0,0.1
1.06,4.4,4.2,1.2,50.6,10.7,219.0,0.1
1.03,4.1,4.0,1.3,50.2,6.3,205.0,0.1
0.98,4.0,4.1,1.3,49.8,5.4,195.0,0.1
0.88,3.5,4.0,1.8,49.7,10.4,174.0,0.1
0.96,4.1,4.2,1.7,49.6,1.4,201.0,0.1
0.97,3.8,4.0,1.4,49.5,2.5,187.0,0.2
1.0,4.0,4.0,1.4,49.3,0.8,193.0,0.1
0.93,3.8,4.1,2.2,49.3,2.9,190.0,0.1
0.88,3.6,4.2,1.9,49.2,4.7,181.0,0.1
0.9,3.7,4.1,1.5,49.1,3.4,182.0,0.1
0.87,3.5,4.0,1.3,48.7,4.2,174.0,0.2
0.92,3.7,4.0,1.6,48.6,2.5,187.0,0.1
0.93,3.9,4.2,1.4,48.1,3.9,190.0,0.1
0.89,3.8,4.2,2.2,47.7,3.1,190.0,0.1
0.89,3.7,4.2,1.5,47.4,1.6,185.0,0.1
1.18,6.2,5.3,1.6,51.4,12.4,245.0,0.1
1.02,5.4,5.3,1.5,50.8,5.7,214.0,0.1
1.03,5.6,5.4,1.7,50.6,8.5,227.0,0.1
1.09,5.9,5.4,1.4,50.6,11.2,233.0,0.1
0.97,4.9,5.0,1.4,50.4,3.9,196.0,0.2
0.99,5.3,5.3,2.1,50.4,1.7,210.0,0.1
0.95,5.0,5.2,2.4,50.3,2.7,201.0,0.1
0.96,4.9,5.1,1.8,50.0,4.0,196.0,0.1
1.02,5.1,5.1,1.7,49.9,3.2,200.0,0.2
1.09,5.5,5.1,2.0,49.8,1.2,215.0,0.1
0.94,5.2,5.6,1.4,49.8,5.2,208.0,0.1
0.91,4.8,5.3,2.4,49.6,3.3,193.0,0.1
0.86,4.5,5.2,2.2,49.6,9.6,178.0,0.1
0.92,4.8,5.2,1.8,49.5,4.8,191.0,0.1
1.04,5.5,5.2,1.3,49.3,3.4,213.0,0.1
0.89,4.8,5.3,2.1,48.9,4.9,189.0,0.1
0.96,5.1,5.3,1.5,48.9,4.4,201.0,0.1
0.93,5.0,5.4,1.9,48.9,1.6,196.0,0.1
0.97,5.1,5.3,1.9,48.7,4.7,202.0,0.1
0.91,4.9,5.4,2.6,48.1,3.6,200.0,0.1
0.95,4.9,5.2,2.6,51.9,2.7,199.0,0.1
1.13,5.6,5.0,2.2,51.6,1.4,219.0,0.1
1.03,5.4,5.3,1.6,50.9,5.9,217.0,0.1
1.03,5.5,5.4,1.8,50.8,8.7,229.0,0.1
1.04,5.4,5.3,1.3,50.7,3.1,213.0,0.1
0.96,5.0,5.2,1.9,50.7,5.4,199.0,0.1
1.16,6.2,5.3,1.6,50.7,12.3,244.0,0.1
1.04,5.1,4.9,1.5,50.6,5.4,206.0,0.2
0.99,5.3,5.3,2.1,50.5,1.4,210.0,0.1
1.07,5.9,5.5,1.4,50.3,11.4,232.0,0.1
1.01,5.1,5.0,1.7,49.9,3.2,198.0,0.2
0.94,5.0,5.3,1.5,49.6,4.1,197.0,0.1
0.87,4.5,5.2,2.3,49.5,9.4,180.0,0.1
0.89,5.0,5.6,1.5,49.2,4.7,201.0,0.1
0.89,4.6,5.2,1.7,48.9,2.5,185.0,0.1
0.99,5.3,5.3,2.2,48.9,5.8,208.0,0.1
0.89,4.7,5.3,2.1,48.4,4.8,187.0,0.1
0.92,4.9,5.4,2.6,48.4,3.7,200.0,0.1
0.89,4.7,5.3,2.5,48.2,3.0,190.0,0.1
0.92,4.9,5.4,1.9,48.0,1.3,194.0,0.1
1.17,6.2,5.3,1.6,51.4,12.5,244.0,0.1
1.05,5.5,5.3,1.5,51.1,6.1,221.0,0.1
1.04,5.2,5.1,1.7,50.9,3.1,202.0,0.1
1.03,5.6,5.4,1.6,50.6,8.1,225.0,0.1
1.0,5.3,5.3,2.0,50.5,1.7,211.0,0.1
1.08,5.9,5.4,1.4,50.5,11.5,232.0,0.1
0.98,4.9,5.0,1.4,50.4,4.2,197.0,0.2
1.01,5.3,5.2,2.0,50.1,6.2,207.0,0.1
0.93,4.9,5.3,2.3,50.0,3.6,196.0,0.1
0.87,4.5,5.2,2.2,49.8,9.6,180.0,0.1
0.92,5.1,5.6,1.4,49.7,4.9,205.0,0.1
0.93,4.9,5.3,2.3,49.5,2.7,198.0,0.1
1.02,5.3,5.2,1.3,49.4,3.2,209.0,0.1
0.87,4.6,5.3,1.7,49.0,2.4,182.0,0.1
0.92,4.8,5.2,1.7,48.9,4.7,191.0,0.1
0.89,4.8,5.3,2.0,48.7,4.8,189.0,0.1
0.91,4.9,5.4,1.9,48.6,1.4,194.0,0.1
1.05,5.5,5.2,1.9,48.5,1.4,212.0,0.1
0.91,4.9,5.4,2.6,48.1,3.5,199.0,0.1
0.96,5.1,5.3,1.4,48.1,4.3,201.0,0.1
1.18,6.2,5.3,1.5,52.1,12.4,244.0,0.1
0.95,5.1,5.4,2.0,50.8,1.2,202.0,0.1
1.0,5.3,5.3,1.4,50.6,5.4,209.0,0.1
1.1,6.0,5.4,1.4,50.6,11.8,236.0,0.1
0.95,5.0,5.2,1.7,50.4,6.1,196.0,0.1
0.94,5.1,5.4,1.9,50.4,1.5,198.0,0.1
1.0,5.1,5.1,1.8,50.2,5.8,202.0,0.1
1.03,5.6,5.4,1.6,50.0,8.6,225.0,0.1
0.9,4.8,5.3,2.0,49.8,4.4,189.0,0.1
0.94,4.7,5.1,1.4,49.7,3.8,191.0,0.2
0.91,4.8,5.3,2.3,49.5,2.7,193.0,0.1
0.87,4.5,5.2,2.1,49.5,10.6,181.0,0.1
1.04,5.3,5.1,1.6,49.4,0.7,208.0,0.1
1.04,5.4,5.2,1.3,49.2,3.3,211.0,0.1
0.9,4.8,5.3,2.0,49.2,1.9,191.0,0.1
0.93,5.2,5.6,1.4,49.1,5.0,208.0,0.1
0.95,5.1,5.4,1.4,48.9,4.5,198.0,0.1
0.92,5.0,5.4,2.6,48.7,3.7,201.0,0.1
0.97,5.2,5.3,1.7,48.1,4.4,204.0,0.1
0.97,5.0,5.1,1.6,47.2,2.3,194.0,0.1
1.18,6.2,5.2,1.6,51.6,12.6,244.0,0.1
0.97,5.1,5.2,1.8,51.3,1.2,201.0,0.1
1.0,5.2,5.2,1.4,51.2,5.2,208.0,0.1
1.13,6.0,5.4,1.4,51.0,12.2,238.0,0.1
0.98,5.2,5.3,1.5,50.8,6.8,213.0,0.1
0.98,5.4,5.5,1.4,50.8,5.7,214.0,0.1
1.0,5.1,5.1,1.7,50.1,6.8,201.0,0.1
0.9,4.6,5.1,1.4,49.9,2.7,187.0,0.2
0.99,5.2,5.3,1.5,49.6,4.9,204.0,0.1
1.04,5.3,5.1,1.6,49.5,0.7,206.0,0.1
0.91,4.7,5.2,2.2,49.4,3.5,190.0,0.1
1.07,5.6,5.2,1.3,49.4,3.9,218.0,0.1
0.86,4.6,5.3,1.9,49.1,3.9,184.0,0.1
0.93,4.8,5.2,1.7,49.0,6.0,192.0,0.1
0.84,4.4,5.2,2.1,49.0,9.2,174.0,0.1
0.93,5.0,5.3,2.4,48.7,4.0,201.0,0.1
1.01,5.1,5.1,1.6,48.7,3.4,199.0,0.1
0.88,4.6,5.3,1.9,48.3,2.0,187.0,0.1
0.91,4.8,5.3,1.6,47.9,3.5,192.0,0.1
0.91,4.9,5.4,1.8,47.5,2.0,194.0,0.1
0.96,4.8,5.0,1.5,51.5,3.9,194.0,0.2
1.18,6.2,5.3,1.6,51.2,12.2,244.0,0.1
1.07,5.8,5.4,1.7,51.1,10.7,236.0,0.1
1.0,5.2,5.2,2.4,50.9,3.8,207.0,0.1
1.06,5.7,5.4,1.4,50.4,10.3,226.0,0.1
0.94,5.0,5.3,2.3,50.2,4.0,197.0,0.1
1.04,5.2,5.0,1.7,50.0,3.7,203.0,0.2
1.02,5.4,5.3,1.5,50.0,5.8,215.0,0.1
0.94,4.9,5.2,1.7,49.8,2.8,193.0,0.2
0.86,4.5,5.2,2.2,49.7,9.6,179.0,0.1
0.93,5.0,5.3,1.8,49.6,1.3,198.0,0.1
0.98,5.2,5.3,1.9,49.6,4.7,203.0,0.1
1.08,5.5,5.1,2.0,49.3,1.1,215.0,0.1
0.91,5.1,5.6,1.4,49.3,4.8,203.0,0.1
0.97,5.2,5.4,1.9,49.1,1.5,207.0,0.1
0.89,4.7,5.3,2.0,49.0,5.1,189.0,0.1
0.89,4.7,5.3,1.6,49.0,3.9,188.0,0.1
0.95,5.1,5.3,1.4,48.7,4.5,200.0,0.1
1.04,5.4,5.2,1.2,48.6,3.2,212.0,0.1
0.9,4.9,5.4,2.5,46.6,3.1,199.0,0.1
1.19,6.3,5.2,1.7,51.7,12.4,247.0,0.1
1.01,5.2,5.2,2.6,51.0,3.7,210.0,0.1
0.96,5.3,5.6,1.5,50.9,5.9,214.0,0.1
1.03,5.2,5.0,1.8,50.9,3.5,202.0,0.1
0.93,4.8,5.1,1.8,50.8,3.5,190.0,0.2
1.03,5.4,5.2,1.6,50.7,5.6,213.0,0.1
1.09,5.9,5.4,1.5,50.6,10.8,233.0,0.1
1.04,5.6,5.4,1.7,50.3,8.5,228.0,0.1
0.96,4.8,5.0,1.5,50.2,4.0,196.0,0.2
1.02,5.4,5.3,2.2,49.9,3.3,216.0,0.1
1.09,5.5,5.1,2.0,49.6,1.1,213.0,0.1
0.84,4.4,5.2,2.3,49.6,9.3,176.0,0.1
0.91,4.8,5.2,2.5,49.3,3.3,191.0,0.1
0.86,4.5,5.3,1.7,49.0,3.5,181.0,0.1
1.03,5.4,5.3,1.3,48.8,3.3,212.0,0.1
0.94,5.0,5.3,1.5,48.4,4.3,198.0,0.1
0.91,4.9,5.4,2.7,48.4,3.5,200.0,0.1
0.89,4.7,5.3,2.1,48.2,5.1,188.0,0.1
0.94,5.0,5.3,1.9,48.1,1.6,197.0,0.1
0.94,5.0,5.3,1.9,47.5,4.0,197.0,0.1
1.0,5.4,5.4,2.2,51.6,1.4,213.0,0.1
1.03,5.4,5.3,1.6,51.1,6.1,217.0,0.1
1.19,6.2,5.3,1.7,51.0,12.4,246.0,0.1
1.01,5.1,5.1,1.8,50.9,3.5,199.0,0.2
0.9,4.8,5.3,2.5,50.5,3.2,191.0,0.1
0.94,4.7,5.0,1.5,50.5,3.6,192.0,0.2
1.08,5.9,5.4,1.5,50.5,10.8,231.0,0.1
1.03,5.6,5.4,1.7,50.4,8.1,227.0,0.1
0.97,5.0,5.1,1.9,50.3,4.3,198.0,0.1
1.13,5.7,5.1,2.1,50.2,1.9,222.0,0.1
0.94,5.0,5.3,2.1,50.2,1.9,199.0,0.1
0.86,4.5,5.2,2.3,50.2,9.8,178.0,0.1
0.95,5.0,5.2,2.4,49.5,2.3,201.0,0.1
0.93,4.9,5.3,2.2,49.4,6.0,195.0,0.1
0.98,5.2,5.3,1.6,49.2,4.5,205.0,0.1
0.94,5.3,5.6,1.5,49.1,5.3,210.0,0.1
1.05,5.5,5.2,1.3,48.9,3.5,213.0,0.1
0.88,4.7,5.3,1.8,48.3,3.8,186.0,0.1
0.94,5.0,5.3,1.9,47.8,4.0,197.0,0.1
0.9,4.9,5.4,2.6,47.4,3.7,198.0,0.1
1.14,15.4,13.5,3.9,45.9,10.2,302.0,0.1
0.9,12.1,13.4,5.3,44.7,10.2,242.0,0.1
1.05,14.4,13.7,4.0,44.2,7.2,317.0,0.1
1.04,14.4,13.8,3.4,43.4,8.8,303.0,0.1
1.0,14.3,14.3,3.8,42.0,4.6,323.0,0.1
0.99,14.6,14.7,4.8,40.8,5.5,312.0,0.1
0.95,14.0,14.7,5.0,40.5,4.8,320.0,0.1
0.99,14.8,14.9,4.5,39.5,4.2,349.0,0.1
0.99,14.4,14.5,3.6,39.5,4.3,373.0,0.1
0.98,14.1,14.4,3.8,39.4,5.6,344.0,0.1
0.93,13.7,14.8,4.4,38.8,5.4,322.0,0.1
0.98,15.0,15.3,5.5,38.3,3.6,375.0,0.1
0.99,14.4,14.6,3.7,38.2,4.1,366.0,0.1
1.0,15.2,15.2,4.3,38.1,3.6,365.0,0.1
0.94,14.8,15.8,5.6,36.8,4.3,375.0,0.1
1.03,15.7,15.2,3.4,36.5,3.5,417.0,0.1
0.95,14.8,15.6,6.0,36.3,3.6,373.0,0.1
0.98,16.6,17.0,4.9,32.9,2.5,498.0,0.1
0.98,16.6,17.0,4.5,30.3,2.0,579.0,0.0
1.08,18.8,17.4,4.8,30.0,1.8,684.0,0.0
1.07,15.1,14.1,4.4,47.0,8.5,287.0,0.1
1.14,15.8,13.8,4.0,47.0,10.5,283.0,0.1
0.9,12.3,13.6,5.8,46.7,11.1,222.0,0.1
1.0,14.2,14.2,3.9,44.6,4.7,282.0,0.1
1.03,14.6,14.1,3.5,44.3,8.6,279.0,0.1
1.0,14.7,14.6,5.1,43.7,6.2,271.0,0.1
1.01,14.9,14.7,4.5,42.1,4.2,295.0,0.1
0.94,13.8,14.7,5.1,42.0,4.6,282.0,0.1
0.97,14.7,15.1,6.1,41.6,3.7,308.0,0.1
0.98,14.0,14.3,3.9,41.3,5.3,304.0,0.1
0.98,14.6,14.9,4.5,40.8,3.6,318.0,0.1
0.97,14.2,14.7,3.7,40.1,3.9,328.0,0.1
0.99,14.4,14.6,3.8,39.8,3.9,320.0,0.1
0.91,13.5,14.8,4.3,39.8,4.7,296.0,0.1
0.94,14.6,15.5,5.9,39.7,4.2,320.0,0.1
0.93,14.5,15.5,6.4,38.6,3.5,317.0,0.1
1.02,15.6,15.3,3.5,37.4,3.1,369.0,0.1
0.97,16.2,16.7,5.1,35.1,2.2,417.0,0.1
1.08,18.2,16.8,5.0,33.9,1.7,515.0,0.1
0.97,16.4,17.0,4.5,31.2,1.7,501.0,0.1
1.12,15.5,13.8,4.0,46.3,10.3,292.0,0.1
0.9,12.2,13.6,5.5,45.0,9.9,236.0,0.1
1.05,14.6,13.9,4.3,45.0,7.1,309.0,0.1
1.02,14.2,14.0,3.9,44.8,5.9,281.0,0.1
1.04,14.7,14.1,3.4,44.1,9.1,291.0,0.1
1.0,14.7,14.7,5.5,42.6,6.2,285.0,0.1
0.96,13.9,14.5,4.7,41.9,6.4,290.0,0.1
0.95,14.0,14.8,5.1,41.0,4.7,305.0,0.1
0.98,14.4,14.6,3.9,40.5,5.6,329.0,0.1
0.94,14.8,15.7,6.1,39.4,4.5,340.0,0.1
0.98,14.5,14.8,3.7,39.3,3.9,364.0,0.1
1.0,15.2,15.3,4.4,38.6,3.5,349.0,0.1
0.97,15.1,15.5,5.8,38.6,3.4,364.0,0.1
0.98,14.6,14.9,3.8,38.3,3.9,353.0,0.1
0.99,15.2,15.4,4.4,37.8,3.3,383.0,0.1
0.94,14.8,15.8,6.2,37.3,3.6,349.0,0.1
1.03,16.0,15.5,3.4,37.1,3.3,403.0,0.1
1.07,18.6,17.3,5.1,32.6,1.9,580.0,0.1
0.98,17.1,17.5,4.9,31.8,2.1,544.0,0.1
0.97,17.1,17.5,4.6,29.6,1.7,591.0,0.0
1.14,15.6,13.7,3.9,46.5,10.5,291.0,0.1
0.9,12.2,13.6,5.3,45.3,10.4,232.0,0.1
1.05,14.5,13.8,3.9,44.5,6.8,306.0,0.1
1.05,14.7,14.0,3.4,44.2,9.1,290.0,0.1
1.0,14.6,14.5,5.1,43.3,6.7,278.0,0.1
0.99,14.3,14.4,3.7,42.6,4.5,306.0,0.1
0.95,14.0,14.7,5.1,41.5,4.7,302.0,0.1
0.99,14.3,14.4,3.8,41.1,5.8,320.0,0.1
0.94,13.8,14.7,4.4,40.6,5.7,295.0,0.1
0.98,14.9,15.2,5.6,40.0,3.7,338.0,0.1
0.99,14.5,14.7,3.6,39.8,4.1,355.0,0.1
1.0,15.1,15.0,4.3,39.8,3.8,331.0,0.1
0.99,14.5,14.7,3.7,39.1,4.1,341.0,0.1
0.94,14.7,15.6,5.7,39.0,4.5,337.0,0.1
1.03,15.7,15.2,3.3,37.7,3.5,381.0,0.1
0.98,15.1,15.4,4.3,37.2,3.1,385.0,0.1
0.94,14.7,15.7,6.1,37.0,3.4,354.0,0.1
0.98,16.6,17.0,4.9,33.9,2.3,470.0,0.1
1.07,18.4,17.2,4.7,31.1,1.8,589.0,0.1
0.98,16.9,17.3,4.4,29.9,1.7,581.0,0.0
1.15,15.7,13.7,3.8,46.7,10.5,293.0,0.1
0.89,12.1,13.6,5.3,45.6,11.0,229.0,0.1
1.06,14.8,14.0,3.4,44.6,9.4,293.0,0.1
1.04,14.4,13.9,3.8,44.3,7.0,303.0,0.1
1.0,14.4,14.4,4.6,43.9,6.2,278.0,0.1
0.99,14.4,14.6,3.8,42.5,4.3,315.0,0.1
0.94,13.6,14.5,4.4,41.9,6.8,276.0,0.1
0.99,14.7,14.8,4.3,41.0,5.1,307.0,0.1
0.95,14.0,14.8,5.0,40.9,4.4,315.0,0.1
0.99,14.5,14.6,3.6,40.4,4.2,354.0,0.1
0.96,14.0,14.5,3.6,39.4,5.2,330.0,0.1
0.98,14.4,14.6,3.6,39.1,4.1,339.0,0.1
1.05,15.8,15.1,3.3,38.3,3.6,376.0,0.1
0.97,15.1,15.5,5.3,37.9,3.2,372.0,0.1
0.95,14.7,15.5,6.2,37.8,3.7,341.0,0.1
0.99,15.7,15.8,4.1,35.6,2.8,404.0,0.1
0.92,14.9,16.3,4.8,34.1,3.4,406.0,0.1
0.98,16.9,17.2,4.4,30.8,1.8,553.0,0.1
0.98,17.5,17.8,4.6,29.7,1.9,611.0,0.0
1.08,19.8,18.4,4.4,26.3,1.4,925.0,0.0
1.15,15.5,13.4,4.0,46.6,10.4,295.0,0.1
0.89,11.9,13.3,5.3,44.9,10.0,233.0,0.1
1.05,14.3,13.7,4.1,44.3,6.9,307.0,0.1
1.04,14.4,13.8,3.5,43.7,8.6,295.0,0.1
1.0,14.1,14.2,3.9,43.2,4.6,305.0,0.1
1.01,14.4,14.3,3.7,41.6,4.8,336.0,0.1
0.95,13.8,14.5,5.2,41.3,4.8,302.0,0.1
0.96,14.5,15.1,6.0,40.8,5.3,313.0,0.1
0.98,14.4,14.7,4.6,40.5,4.3,320.0,0.1
0.98,15.3,15.6,5.4,40.0,3.9,330.0,0.1
0.98,13.9,14.2,3.9,40.0,5.4,328.0,0.1
0.98,14.4,14.7,4.6,39.6,4.6,316.0,0.1
0.96,14.5,15.1,5.6,39.3,3.6,344.0,0.1
1.0,14.9,15.0,4.4,39.2,3.7,338.0,0.1
0.99,14.3,14.4,3.8,38.8,4.0,346.0,0.1
1.04,15.6,15.0,3.5,37.8,3.5,384.0,0.1
0.94,14.6,15.4,6.2,37.2,3.6,350.0,0.1
0.89,13.3,14.9,4.3,36.8,4.5,332.0,0.1
0.98,16.3,16.7,4.6,31.7,1.9,514.0,0.1
1.08,18.9,17.5,4.8,29.0,1.6,717.0,0.0
1.15,15.5,13.5,4.0,46.4,10.5,294.0,0.1
0.89,11.9,13.3,5.4,45.2,10.4,231.0,0.1
1.04,14.3,13.7,4.1,44.2,6.5,312.0,0.1
1.04,14.3,13.7,3.5,43.6,8.7,292.0,0.1
0.96,13.7,14.3,5.3,43.1,5.8,281.0,0.1
0.99,14.3,14.4,4.7,42.0,4.8,304.0,0.1
0.99,14.2,14.3,3.9,41.9,4.1,325.0,0.1
1.0,14.2,14.2,3.9,40.8,5.9,322.0,0.1
1.0,14.3,14.4,3.7,40.5,4.4,349.0,0.1
0.98,14.4,14.7,4.6,39.8,4.6,316.0,0.1
0.99,14.7,14.9,4.4,39.5,3.8,327.0,0.1
1.0,14.3,14.3,3.8,39.5,4.2,339.0,0.1
0.97,14.7,15.1,5.8,39.2,3.6,347.0,0.1
1.04,15.4,14.7,3.4,38.4,3.7,366.0,0.1
0.91,13.4,14.7,4.4,38.3,4.8,320.0,0.1
0.94,14.5,15.4,6.1,37.3,3.7,343.0,0.1
0.93,14.5,15.6,5.5,37.0,4.0,360.0,0.1
1.08,17.6,16.3,4.9,34.7,2.1,494.0,0.1
0.96,15.6,16.2,4.7,34.0,2.2,440.0,0.1
0.97,16.6,17.1,4.9,31.4,2.1,529.0,0.1
1.19,13.0,11.0,3.4,51.1,12.1,245.0,0.1
0.96,10.3,10.7,3.0,51.0,4.3,196.0,0.2
1.05,11.4,10.8,3.4,50.7,8.0,229.0,0.1
0.87,9.7,11.1,4.7,50.6,10.6,179.0,0.1
1.01,10.7,10.6,3.5,50.4,3.3,201.0,0.2
0.98,10.6,10.8,4.3,50.2,2.0,211.0,0.1
0.94,10.3,11.0,5.1,50.1,3.6,198.0,0.1
0.98,11.1,11.3,3.1,50.0,5.0,214.0,0.1
0.95,10.6,11.2,3.7,49.9,3.0,197.0,0.1
1.06,11.7,11.1,2.8,49.9,10.3,224.0,0.1
1.02,11.3,11.1,3.3,49.8,6.2,211.0,0.1
1.05,11.1,10.5,3.5,49.7,1.1,219.0,0.1
0.91,10.1,11.2,4.5,49.7,4.8,191.0,0.1
1.05,11.4,10.8,2.6,49.1,2.9,216.0,0.1
0.99,11.1,11.2,3.8,49.0,5.1,206.0,0.1
0.99,10.9,11.0,3.2,48.6,4.8,206.0,0.1
0.88,9.9,11.3,3.7,48.5,4.6,184.0,0.1
0.93,10.7,11.5,4.6,48.3,2.7,198.0,0.1
0.92,10.3,11.2,5.9,47.8,3.5,202.0,0.1
0.93,10.1,10.8,3.7,47.2,2.2,202.0,0.1
1.05,15.8,15.1,3.8,48.0,6.8,290.0,0.2
1.09,15.7,14.5,2.8,47.7,10.5,264.0,0.2
0.99,14.9,15.0,3.8,47.2,5.7,270.0,0.1
1.18,17.1,14.5,3.4,46.9,8.5,302.0,0.2
0.86,12.8,15.0,5.1,46.2,7.8,236.0,0.1
1.01,15.7,15.5,4.1,45.6,4.4,304.0,0.1
0.95,15.2,16.0,5.4,45.6,5.6,278.0,0.1
0.97,15.2,15.7,5.3,45.3,4.2,304.0,0.1
0.96,15.2,15.8,5.1,44.8,4.6,291.0,0.1
0.98,15.6,15.8,3.3,44.5,3.8,338.0,0.1
1.08,17.6,16.3,5.3,44.4,2.9,382.0,0.1
1.01,15.9,15.8,4.5,44.3,3.9,334.0,0.1
0.94,14.7,15.6,4.5,44.3,5.6,291.0,0.1
0.97,15.8,16.3,5.5,43.8,3.4,338.0,0.1
0.92,14.8,16.2,6.4,42.7,4.3,297.0,0.1
0.98,15.1,15.4,3.1,42.2,4.0,317.0,0.2
1.02,16.5,16.2,3.0,42.1,3.3,379.0,0.1
0.99,15.6,15.8,3.8,41.5,4.6,350.0,0.1
0.93,15.6,16.9,5.6,41.2,4.1,364.0,0.1
0.97,17.0,17.6,4.3,39.4,2.1,447.0,0.1
1.07,14.9,14.0,5.6,50.9,5.4,224.0,0.2
0.93,13.2,14.1,6.3,50.6,5.5,209.0,0.2
1.22,16.9,13.8,3.7,50.6,9.0,266.0,0.2
1.07,15.9,14.8,4.9,50.4,9.8,253.0,0.2
0.99,14.4,14.5,5.6,50.3,7.0,222.0,0.2
0.85,12.0,14.1,6.0,49.7,11.4,188.0,0.2
1.09,15.4,14.1,3.1,49.4,2.7,268.0,0.1
1.06,14.8,13.9,5.1,48.8,5.1,214.0,0.1
1.03,14.6,14.2,4.5,48.3,3.2,249.0,0.1
1.08,15.6,14.4,5.5,48.0,3.3,252.0,0.1
1.09,15.7,14.4,3.1,47.9,8.6,241.0,0.2
0.97,14.7,15.1,6.0,47.7,2.9,244.0,0.1
0.9,13.1,14.5,5.2,47.1,4.3,209.0,0.2
0.95,13.5,14.2,3.2,47.0,3.2,238.0,0.2
1.0,14.1,14.2,3.5,45.9,3.8,249.0,0.2
0.9,14.0,15.7,4.4,44.6,1.3,268.0,0.1
0.9,13.0,14.4,6.5,44.3,3.5,221.0,0.2
1.0,13.7,13.7,3.3,44.0,3.3,234.0,0.2
0.89,13.4,15.0,6.0,42.6,3.7,236.0,0.1
0.85,12.3,14.5,4.0,42.4,3.1,222.0,0.2
1.06,16.0,15.1,2.5,46.1,11.7,296.0,0.2
1.04,17.4,16.7,3.4,44.3,5.7,425.0,0.1
1.01,16.8,16.6,3.8,43.7,6.1,367.0,0.1
1.1,17.7,16.1,3.3,42.7,7.7,388.0,0.1
0.99,16.9,17.2,5.7,42.2,5.9,382.0,0.1
0.97,16.7,17.2,4.5,41.7,6.7,407.0,0.1
0.9,15.5,17.3,4.3,41.2,6.4,402.0,0.1
0.95,17.0,17.8,6.3,41.1,5.0,416.0,0.1
1.07,20.4,19.0,5.3,40.8,3.3,658.0,0.1
1.0,18.7,18.7,4.5,40.0,3.8,620.0,0.1
1.03,19.0,18.4,4.7,39.8,4.4,518.0,0.1
1.0,18.5,18.6,3.9,39.6,3.7,599.0,0.1
1.02,18.8,18.4,3.3,39.2,3.8,646.0,0.1
0.95,17.7,18.7,3.3,37.3,4.0,564.0,0.1
0.98,19.5,20.0,4.3,37.0,3.0,870.0,0.1
0.97,17.6,18.2,3.5,36.7,5.3,567.0,0.1
0.94,18.5,19.8,5.1,36.4,4.5,705.0,0.1
0.98,19.0,19.3,3.4,36.3,3.7,730.0,0.1
1.01,13.4,13.3,3.4,51.7,8.3,207.0,0.2
0.96,13.5,14.2,7.7,51.1,6.5,210.0,0.1
1.01,14.4,14.2,7.1,50.4,9.6,215.0,0.1
1.21,17.0,14.1,3.6,50.3,7.4,264.0,0.2
0.97,13.6,14.1,5.0,49.8,6.8,213.0,0.2
1.12,15.8,14.1,2.9,49.1,12.0,237.0,0.2
1.08,15.0,13.9,6.4,48.6,3.6,231.0,0.1
0.91,12.9,14.2,6.0,48.4,6.0,199.0,0.2
0.95,13.7,14.4,3.6,48.4,2.5,234.0,0.2
1.07,15.1,14.1,3.6,48.1,5.7,247.0,0.2
1.03,14.3,13.9,2.4,47.6,2.6,230.0,0.2
0.9,13.0,14.5,6.2,47.0,4.1,210.0,0.2
0.76,10.8,14.2,5.4,46.7,6.1,178.0,0.2
0.91,13.1,14.4,6.4,45.7,3.2,228.0,0.1
0.99,13.8,14.0,4.0,45.1,4.6,218.0,0.2
1.01,14.3,14.2,3.6,44.9,3.8,250.0,0.2
0.98,14.6,14.9,4.1,44.6,1.4,305.0,0.1
0.88,12.8,14.6,7.1,44.1,2.9,219.0,0.2
0.93,13.6,14.7,2.9,42.7,2.3,235.0,0.2
0.94,14.7,15.6,3.9,40.8,0.9,313.0,0.1
1.0,14.3,14.3,3.3,52.9,7.3,220.0,0.2
1.02,14.2,14.0,5.2,50.6,12.1,215.0,0.2
1.13,15.9,14.1,3.1,50.5,12.3,245.0,0.2
1.06,14.7,13.9,3.3,49.6,5.5,244.0,0.2
0.93,13.3,14.3,4.8,49.4,11.0,204.0,0.2
1.32,18.2,13.8,3.3,49.4,8.7,284.0,0.1
0.92,13.5,14.6,4.4,49.0,1.2,260.0,0.1
